time,pid_tb.proportional[31:0]
3636300000,15400
3643500000,15400
3643500000,15370
3650700000,15370
3650700000,15350
3657900000,15350
3657900000,15320
3665100000,15320
3665100000,15300
3672300000,15300
3672300000,15270
3679500000,15270
3679500000,15250
3686700000,15250
3686700000,15220
3693900000,15220
3693900000,15200
3701100000,15200
3701100000,15170
3708300000,15170
3708300000,15150
3715500000,15150
3715500000,15120
3722700000,15120
3722700000,15100
3729900000,15100
3729900000,15070
3737100000,15070
3737100000,15050
3744300000,15050
3744300000,15020
3751500000,15020
3751500000,15000
3758700000,15000
3758700000,14970
3765900000,14970
3765900000,14950
3773100000,14950
3773100000,14930
3780300000,14930
3780300000,14900
3787500000,14900
3787500000,14880
3794700000,14880
3794700000,14850
3801900000,14850
3801900000,14830
3809100000,14830
3809100000,14800
3816300000,14800
3816300000,14780
3823500000,14780
3823500000,14760
3830700000,14760
3830700000,14730
3837900000,14730
3837900000,14710
3845100000,14710
3845100000,14680
3852300000,14680
3852300000,14660
3859500000,14660
3859500000,14640
3866700000,14640
3866700000,14610
3873900000,14610
3873900000,14590
3881100000,14590
3881100000,14560
3888300000,14560
3888300000,14540
3895500000,14540
3895500000,14520
3902700000,14520
3902700000,14490
3909900000,14490
3909900000,14470
3917100000,14470
3917100000,14450
3924300000,14450
3924300000,14420
3931500000,14420
3931500000,14400
3938700000,14400
3938700000,14380
3945900000,14380
3945900000,14350
3953100000,14350
3953100000,14330
3960300000,14330
3960300000,14310
3967500000,14310
3967500000,14280
3974700000,14280
3974700000,14260
3981900000,14260
3981900000,14240
3989100000,14240
3989100000,14210
3996300000,14210
3996300000,14190
4003500000,14190
4003500000,14170
4010700000,14170
4010700000,14140
4017900000,14140
4017900000,14120
4025100000,14120
4025100000,14100
4032300000,14100
4032300000,14070
4039500000,14070
4039500000,14050
4046700000,14050
4046700000,14030
4053900000,14030
4053900000,14010
4061100000,14010
4061100000,13980
4068300000,13980
4068300000,13960
4075500000,13960
4075500000,13940
4082700000,13940
4082700000,13910
4089900000,13910
4089900000,13890
4097100000,13890
4097100000,13870
4104300000,13870
4104300000,13850
4111500000,13850
4111500000,13820
4118700000,13820
4118700000,13800
4125900000,13800
4125900000,13780
4133100000,13780
4133100000,13760
4140300000,13760
4140300000,13730
4147500000,13730
4147500000,13710
4154700000,13710
4154700000,13690
4161900000,13690
4161900000,13670
4169100000,13670
4169100000,13640
4176300000,13640
4176300000,13620
4183500000,13620
4183500000,13600
4190700000,13600
4190700000,13580
4197900000,13580
4197900000,13560
4205100000,13560
4205100000,13530
4212300000,13530
4212300000,13510
4219500000,13510
4219500000,13490
4226700000,13490
4226700000,13470
4233900000,13470
4233900000,13450
4241100000,13450
4241100000,13420
4248300000,13420
4248300000,13400
4255500000,13400
4255500000,13380
4262700000,13380
4262700000,13360
4269900000,13360
4269900000,13340
4277100000,13340
4277100000,13310
4284300000,13310
4284300000,13290
4291500000,13290
4291500000,13270
4298700000,13270
4298700000,13250
4305900000,13250
4305900000,13230
4313100000,13230
4313100000,13210
4320300000,13210
4320300000,13190
4327500000,13190
4327500000,13160
4334700000,13160
4334700000,13140
4341900000,13140
4341900000,13120
4349100000,13120
4349100000,13100
4356300000,13100
4356300000,13080
4363500000,13080
4363500000,13060
4370700000,13060
4370700000,13030
4377900000,13030
4377900000,13010
4385100000,13010
4385100000,12990
4392300000,12990
4392300000,12970
4399500000,12970
4399500000,12950
4406700000,12950
4406700000,12930
4413900000,12930
4413900000,12910
4421100000,12910
4421100000,12890
4428300000,12890
4428300000,12860
4435500000,12860
4435500000,12840
4442700000,12840
4442700000,12820
4449900000,12820
4449900000,12800
4457100000,12800
4457100000,12780
4464300000,12780
4464300000,12760
4471500000,12760
4471500000,12740
4478700000,12740
4478700000,12720
4485900000,12720
4485900000,12700
4493100000,12700
4493100000,12680
4500300000,12680
4500300000,12660
4507500000,12660
4507500000,12640
4514700000,12640
4514700000,12620
4521900000,12620
4521900000,12600
4529100000,12600
4529100000,12570
4536300000,12570
4536300000,12550
4543500000,12550
4543500000,12530
4550700000,12530
4550700000,12510
4557900000,12510
4557900000,12490
4565100000,12490
4565100000,12470
4572300000,12470
