time,pid_tb.setpoint[31:0]
1117100000,311000
1117100000,313000
1124300000,313000
1124300000,315000
1131500000,315000
1131500000,317000
1138700000,317000
1138700000,319000
1145900000,319000
1145900000,321000
1153100000,321000
1153100000,323000
1160300000,323000
1160300000,325000
1167500000,325000
1167500000,327000
1174700000,327000
1174700000,329000
1181900000,329000
1181900000,331000
1189100000,331000
1189100000,333000
1196300000,333000
1196300000,335000
1203500000,335000
1203500000,337000
1210700000,337000
1210700000,339000
1217900000,339000
1217900000,341000
1225100000,341000
1225100000,343000
1232300000,343000
1232300000,345000
1239500000,345000
1239500000,347000
1246700000,347000
1246700000,349000
1253900000,349000
1253900000,351000
1261100000,351000
1261100000,353000
1268300000,353000
1268300000,355000
1275500000,355000
1275500000,357000
1282700000,357000
1282700000,359000
1289900000,359000
1289900000,361000
1297100000,361000
1297100000,363000
1304300000,363000
1304300000,365000
1311500000,365000
1311500000,367000
1318700000,367000
1318700000,369000
1325900000,369000
1325900000,371000
1333100000,371000
1333100000,373000
1340300000,373000
1340300000,375000
1347500000,375000
1347500000,377000
1354700000,377000
1354700000,379000
1361900000,379000
1361900000,381000
1369100000,381000
1369100000,383000
1376300000,383000
1376300000,385000
1383500000,385000
1383500000,387000
1390700000,387000
1390700000,389000
1397900000,389000
1397900000,391000
1405100000,391000
1405100000,393000
1412300000,393000
1412300000,395000
1419500000,395000
1419500000,397000
1426700000,397000
1426700000,399000
1433900000,399000
1433900000,401000
1441100000,401000
1441100000,403000
1448300000,403000
1448300000,405000
1455500000,405000
1455500000,407000
1462700000,407000
1462700000,409000
1469900000,409000
1469900000,411000
1477100000,411000
1477100000,413000
1484300000,413000
1484300000,415000
1491500000,415000
1491500000,417000
1498700000,417000
1498700000,419000
1505900000,419000
1505900000,421000
1513100000,421000
1513100000,423000
1520300000,423000
1520300000,425000
1527500000,425000
1527500000,427000
1534700000,427000
1534700000,429000
1541900000,429000
1541900000,431000
1549100000,431000
1549100000,433000
1556300000,433000
1556300000,435000
1563500000,435000
1563500000,437000
1570700000,437000
1570700000,439000
1577900000,439000
1577900000,441000
1585100000,441000
1585100000,443000
1592300000,443000
1592300000,445000
1599500000,445000
1599500000,447000
1606700000,447000
1606700000,449000
1613900000,449000
1613900000,451000
1621100000,451000
1621100000,453000
1628300000,453000
1628300000,455000
1635500000,455000
1635500000,457000
1642700000,457000
1642700000,459000
1649900000,459000
1649900000,461000
1657100000,461000
1657100000,463000
1664300000,463000
1664300000,465000
1671500000,465000
1671500000,467000
1678700000,467000
1678700000,469000
1685900000,469000
1685900000,471000
1693100000,471000
1693100000,473000
1700300000,473000
1700300000,475000
1707500000,475000
1707500000,477000
1714700000,477000
1714700000,479000
1721900000,479000
1721900000,481000
1729100000,481000
1729100000,483000
1736300000,483000
1736300000,485000
1743500000,485000
1743500000,487000
1750700000,487000
1750700000,489000
1757900000,489000
1757900000,491000
1765100000,491000
1765100000,493000
1772300000,493000
1772300000,495000
1779500000,495000
1779500000,497000
1786700000,497000
1786700000,499000
1793900000,499000
1793900000,501000
1801100000,501000
1801100000,503000
1808300000,503000
1808300000,505000
1815500000,505000
1815500000,507000
1822700000,507000
1822700000,509000
1829900000,509000
1829900000,511000
1837100000,511000
1837100000,513000
1844300000,513000
1844300000,515000
1851500000,515000
1851500000,517000
1858700000,517000
1858700000,519000
1865900000,519000
1865900000,521000
1873100000,521000
1873100000,523000
1880300000,523000
1880300000,525000
1887500000,525000
1887500000,527000
1894700000,527000
1894700000,529000
1901900000,529000
1901900000,531000
1909100000,531000
1909100000,533000
1916300000,533000
1916300000,535000
1923500000,535000
1923500000,537000
1930700000,537000
1930700000,539000
1937900000,539000
1937900000,541000
1945100000,541000
1945100000,543000
1952300000,543000
1952300000,545000
1959500000,545000
1959500000,547000
1966700000,547000
1966700000,549000
1973900000,549000
1973900000,551000
1981100000,551000
1981100000,553000
1988300000,553000
1988300000,555000
1995500000,555000
1995500000,557000
2002700000,557000
2002700000,559000
2009900000,559000
2009900000,561000
2017100000,561000
2017100000,563000
2024300000,563000
2024300000,565000
2031500000,565000
2031500000,567000
2038700000,567000
2038700000,569000
2045900000,569000
2045900000,571000
2053100000,571000
2053100000,573000
2060300000,573000
2060300000,575000
2067500000,575000
2067500000,577000
2074700000,577000
2074700000,579000
2081900000,579000
2081900000,581000
2089100000,581000
2089100000,583000
2096300000,583000
2096300000,585000
2103500000,585000
2103500000,587000
2110700000,587000
2110700000,589000
2117900000,589000
2117900000,591000
2125100000,591000
2125100000,593000
2132300000,593000
2132300000,595000
2139500000,595000
2139500000,597000
2146700000,597000
2146700000,599000
2153900000,599000
2153900000,601000
2161100000,601000
2161100000,603000
2168300000,603000
2168300000,605000
2175500000,605000
2175500000,607000
2182700000,607000
2182700000,609000
2189900000,609000
2189900000,611000
2197100000,611000
2197100000,613000
2204300000,613000
2204300000,615000
2211500000,615000
2211500000,617000
2218700000,617000
2218700000,619000
2225900000,619000
2225900000,621000
2233100000,621000
2233100000,623000
2240300000,623000
2240300000,625000
2247500000,625000
2247500000,627000
2254700000,627000
2254700000,629000
2261900000,629000
2261900000,631000
2269100000,631000
2269100000,633000
2276300000,633000
2276300000,635000
2283500000,635000
2283500000,637000
2290700000,637000
2290700000,639000
2297900000,639000
2297900000,641000
2305100000,641000
2305100000,643000
2312300000,643000
2312300000,645000
2319500000,645000
2319500000,647000
2326700000,647000
2326700000,649000
2333900000,649000
2333900000,651000
2341100000,651000
2341100000,653000
2348300000,653000
2348300000,655000
2355500000,655000
2355500000,657000
2362700000,657000
2362700000,659000
2369900000,659000
2369900000,661000
2377100000,661000
2377100000,663000
2384300000,663000
2384300000,665000
2391500000,665000
2391500000,667000
2398700000,667000
2398700000,669000
2405900000,669000
2405900000,671000
2413100000,671000
2413100000,673000
2420300000,673000
2420300000,675000
2427500000,675000
2427500000,677000
2434700000,677000
2434700000,679000
2441900000,679000
2441900000,681000
2449100000,681000
2449100000,683000
2456300000,683000
2456300000,685000
2463500000,685000
2463500000,687000
2470700000,687000
2470700000,689000
2477900000,689000
2477900000,691000
2485100000,691000
2485100000,693000
2492300000,693000
