time,pid_tb.pos[31:0]
12478700000,-14111
12478700000,-14088
12485900000,-14088
12485900000,-14065
12493100000,-14065
12493100000,-14042
12500300000,-14042
12500300000,-14019
12507500000,-14019
12507500000,-13996
12514700000,-13996
12514700000,-13973
12521900000,-13973
12521900000,-13950
12529100000,-13950
12529100000,-13927
12536300000,-13927
12536300000,-13904
12543500000,-13904
12543500000,-13882
12550700000,-13882
12550700000,-13859
12557900000,-13859
12557900000,-13836
12565100000,-13836
12565100000,-13814
12572300000,-13814
12572300000,-13791
12579500000,-13791
12579500000,-13769
12586700000,-13769
12586700000,-13747
12593900000,-13747
12593900000,-13725
12601100000,-13725
12601100000,-13703
12608300000,-13703
12608300000,-13680
12615500000,-13680
12615500000,-13658
12622700000,-13658
12622700000,-13636
12629900000,-13636
12629900000,-13614
12637100000,-13614
12637100000,-13592
12644300000,-13592
12644300000,-13570
12651500000,-13570
12651500000,-13548
12658700000,-13548
12658700000,-13526
12665900000,-13526
12665900000,-13504
12673100000,-13504
12673100000,-13482
12680300000,-13482
12680300000,-13460
12687500000,-13460
12687500000,-13438
12694700000,-13438
12694700000,-13416
12701900000,-13416
12701900000,-13394
12709100000,-13394
12709100000,-13372
12716300000,-13372
12716300000,-13350
12723500000,-13350
12723500000,-13328
12730700000,-13328
12730700000,-13306
12737900000,-13306
12737900000,-13284
12745100000,-13284
12745100000,-13262
12752300000,-13262
12752300000,-13241
12759500000,-13241
12759500000,-13219
12766700000,-13219
12766700000,-13198
12773900000,-13198
12773900000,-13177
12781100000,-13177
12781100000,-13155
12788300000,-13155
12788300000,-13134
12795500000,-13134
12795500000,-13113
12802700000,-13113
12802700000,-13092
12809900000,-13092
12809900000,-13071
12817100000,-13071
12817100000,-13050
12824300000,-13050
12824300000,-13029
12831500000,-13029
12831500000,-13008
12838700000,-13008
12838700000,-12987
12845900000,-12987
12845900000,-12966
12853100000,-12966
12853100000,-12945
12860300000,-12945
12860300000,-12924
12867500000,-12924
12867500000,-12903
12874700000,-12903
12874700000,-12882
12881900000,-12882
12881900000,-12861
12889100000,-12861
12889100000,-12840
12896300000,-12840
12896300000,-12819
12903500000,-12819
12903500000,-12798
12910700000,-12798
12910700000,-12777
12917900000,-12777
12917900000,-12756
12925100000,-12756
12925100000,-12735
12932300000,-12735
12932300000,-12714
12939500000,-12714
12939500000,-12693
12946700000,-12693
12946700000,-12673
12953900000,-12673
12953900000,-12652
12961100000,-12652
12961100000,-12631
12968300000,-12631
12968300000,-12610
12975500000,-12610
12975500000,-12590
12982700000,-12590
12982700000,-12569
12989900000,-12569
12989900000,-12548
12997100000,-12548
12997100000,-12528
13004300000,-12528
13004300000,-12508
13011500000,-12508
13011500000,-12488
13018700000,-12488
13018700000,-12467
13025900000,-12467
13025900000,-12447
13033100000,-12447
13033100000,-12427
13040300000,-12427
13040300000,-12407
13047500000,-12407
13047500000,-12387
13054700000,-12387
13054700000,-12367
13061900000,-12367
13061900000,-12347
13069100000,-12347
13069100000,-12327
13076300000,-12327
13076300000,-12307
13083500000,-12307
13083500000,-12287
13090700000,-12287
13090700000,-12267
13097900000,-12267
13097900000,-12247
13105100000,-12247
13105100000,-12227
13112300000,-12227
13112300000,-12207
13119500000,-12207
13119500000,-12187
13126700000,-12187
13126700000,-12167
13133900000,-12167
13133900000,-12147
13141100000,-12147
13141100000,-12127
13148300000,-12127
13148300000,-12107
13155500000,-12107
13155500000,-12087
13162700000,-12087
13162700000,-12068
13169900000,-12068
13169900000,-12048
13177100000,-12048
13177100000,-12028
13184300000,-12028
13184300000,-12008
13191500000,-12008
13191500000,-11988
13198700000,-11988
13198700000,-11969
13205900000,-11969
13205900000,-11950
13213100000,-11950
13213100000,-11930
13220300000,-11930
13220300000,-11910
13227500000,-11910
13227500000,-11891
13234700000,-11891
13234700000,-11872
13241900000,-11872
13241900000,-11853
13249100000,-11853
13249100000,-11834
13256300000,-11834
13256300000,-11814
13263500000,-11814
13263500000,-11795
13270700000,-11795
13270700000,-11776
13277900000,-11776
13277900000,-11757
13285100000,-11757
13285100000,-11738
13292300000,-11738
13292300000,-11719
13299500000,-11719
13299500000,-11700
13306700000,-11700
13306700000,-11681
13313900000,-11681
13313900000,-11662
13321100000,-11662
13321100000,-11643
13328300000,-11643
13328300000,-11624
13335500000,-11624
13335500000,-11605
13342700000,-11605
13342700000,-11586
13349900000,-11586
13349900000,-11567
13357100000,-11567
13357100000,-11548
13364300000,-11548
13364300000,-11529
13371500000,-11529
13371500000,-11511
13378700000,-11511
13378700000,-11492
13385900000,-11492
13385900000,-11473
13393100000,-11473
13393100000,-11454
13400300000,-11454
13400300000,-11435
13407500000,-11435
13407500000,-11416
13414700000,-11416
13414700000,-11398
13421900000,-11398
13421900000,-11380
13429100000,-11380
13429100000,-11362
13436300000,-11362
13436300000,-11343
13443500000,-11343
13443500000,-11324
13450700000,-11324
13450700000,-11305
13457900000,-11305
13457900000,-11287
13465100000,-11287
13465100000,-11269
13472300000,-11269
13472300000,-11251
13479500000,-11251
13479500000,-11233
13486700000,-11233
13486700000,-11215
13493900000,-11215
13493900000,-11197
13501100000,-11197
13501100000,-11178
13508300000,-11178
13508300000,-11160
13515500000,-11160
13515500000,-11142
13522700000,-11142
13522700000,-11124
13529900000,-11124
13529900000,-11106
13537100000,-11106
13537100000,-11088
13544300000,-11088
13544300000,-11070
13551500000,-11070
13551500000,-11052
13558700000,-11052
13558700000,-11034
13565900000,-11034
13565900000,-11016
13573100000,-11016
13573100000,-10998
13580300000,-10998
13580300000,-10980
13587500000,-10980
13587500000,-10962
13594700000,-10962
13594700000,-10944
13601900000,-10944
13601900000,-10926
13609100000,-10926
13609100000,-10908
13616300000,-10908
13616300000,-10890
13623500000,-10890
13623500000,-10873
13630700000,-10873
13630700000,-10855
13637900000,-10855
13637900000,-10837
13645100000,-10837
13645100000,-10819
13652300000,-10819
13652300000,-10801
13659500000,-10801
13659500000,-10783
13666700000,-10783
13666700000,-10765
13673900000,-10765
13673900000,-10747
13681100000,-10747
13681100000,-10730
13688300000,-10730
13688300000,-10713
13695500000,-10713
13695500000,-10696
13702700000,-10696
13702700000,-10679
13709900000,-10679
13709900000,-10662
13717100000,-10662
13717100000,-10645
13724300000,-10645
13724300000,-10628
13731500000,-10628
13731500000,-10611
13738700000,-10611
13738700000,-10594
13745900000,-10594
13745900000,-10577
13753100000,-10577
13753100000,-10560
13760300000,-10560
13760300000,-10543
13767500000,-10543
13767500000,-10526
13774700000,-10526
13774700000,-10508
13781900000,-10508
13781900000,-10491
13789100000,-10491
13789100000,-10474
13796300000,-10474
13796300000,-10457
13803500000,-10457
13803500000,-10440
13810700000,-10440
13810700000,-10423
13817900000,-10423
13817900000,-10406
13825100000,-10406
13825100000,-10389
13832300000,-10389
13832300000,-10372
13839500000,-10372
13839500000,-10355
13846700000,-10355
13846700000,-10338
13853900000,-10338
13853900000,-10321
13861100000,-10321
13861100000,-10304
13868300000,-10304
13868300000,-10287
13875500000,-10287
13875500000,-10270
13882700000,-10270
13882700000,-10253
13889900000,-10253
13889900000,-10237
13897100000,-10237
13897100000,-10221
13904300000,-10221
13904300000,-10205
13911500000,-10205
13911500000,-10189
13918700000,-10189
13918700000,-10173
13925900000,-10173
13925900000,-10157
13933100000,-10157
13933100000,-10141
13940300000,-10141
13940300000,-10125
13947500000,-10125
13947500000,-10109
13954700000,-10109
13954700000,-10093
13961900000,-10093
13961900000,-10077
13969100000,-10077
13969100000,-10061
13976300000,-10061
13976300000,-10045
13983500000,-10045
13983500000,-10029
13990700000,-10029
13990700000,-10013
13997900000,-10013
13997900000,-9997
14005100000,-9997
14005100000,-9981
14012300000,-9981
14012300000,-9965
14019500000,-9965
14019500000,-9949
14026700000,-9949
14026700000,-9933
14033900000,-9933
14033900000,-9917
14041100000,-9917
